Area,Ages,Hindus,Muslims,Christians,Sikhs,Other Minorities
INDIA,0-4,87320843,19435236,2330405,1512643,1822093
INDIA,5-9,98842302,21478536,2560275,1687394,2019669
INDIA,10-14,104107800,21451442,2760926,1904993,2150595
INDIA,15-19,94463520,19101614,2570883,2111594,1978731
INDIA,20-24,88102231,16640317,2441355,2051985,1921896
INDIA,25-29,81398001,13927787,2305878,1774466,1783784
INDIA,30-34,71731534,11540455,2046431,1548589,1553037
INDIA,35-39,69143968,10873884,2004636,1473691,1490874
INDIA,40-44,58915047,8890392,1828958,1362766,1318793
INDIA,45-49,50873920,7291929,1676544,1224502,1150678
INDIA,50-54,40134461,5579972,1369795,976351,929722
INDIA,55-59,32138810,4314996,1131188,759849,737529
INDIA,60-64,30934965,4190178,968165,823165,684171
INDIA,65-69,21841646,2801836,657583,596972,511245
INDIA,70-74,15922071,1981615,484815,431192,354019
INDIA,75-79,7640136,878766,295335,222010,178554
INDIA,80+,9212211,1202328,330504,327614,189025
State - JAMMU & KASHMIR,0-4,298020,1086340,3088,14817,8978
State - JAMMU & KASHMIR,5-9,320916,1058931,3005,16642,10075
State - JAMMU & KASHMIR,10-14,336090,1043207,3069,18007,11370
State - JAMMU & KASHMIR,15-19,321129,881127,2999,19521,11114
State - JAMMU & KASHMIR,20-24,348796,773509,3794,22256,11025
State - JAMMU & KASHMIR,25-29,378998,664749,4773,25007,10962
State - JAMMU & KASHMIR,30-34,313095,578134,3636,21265,9498
State - JAMMU & KASHMIR,35-39,271507,535466,2940,18630,8467
State - JAMMU & KASHMIR,40-44,229460,457165,2499,17271,7010
State - JAMMU & KASHMIR,45-49,195311,371782,1837,15401,5953
State - JAMMU & KASHMIR,50-54,150760,298831,1210,12266,5130
State - JAMMU & KASHMIR,55-59,109314,216247,855,9085,4279
State - JAMMU & KASHMIR,60-64,95783,214448,679,7669,3851
State - JAMMU & KASHMIR,65-69,64408,130522,387,5671,2790
State - JAMMU & KASHMIR,70-74,55357,121017,378,4605,2478
State - JAMMU & KASHMIR,75-79,30465,50096,176,2728,1534
State - JAMMU & KASHMIR,80+,43654,77056,268,3791,1919
State - HIMACHAL PRADESH,0-4,516369,15929,979,5548,4822
State - HIMACHAL PRADESH,5-9,559950,16454,1092,6375,6328
State - HIMACHAL PRADESH,10-14,604962,16635,1198,7517,7948
State - HIMACHAL PRADESH,15-19,606791,15926,1028,7742,8116
State - HIMACHAL PRADESH,20-24,610018,16350,1418,7687,7540
State - HIMACHAL PRADESH,25-29,559563,13510,1320,6636,7432
State - HIMACHAL PRADESH,30-34,520197,11073,1138,6344,7076
State - HIMACHAL PRADESH,35-39,494153,10097,1004,6200,6121
State - HIMACHAL PRADESH,40-44,425702,8309,857,5290,5105
State - HIMACHAL PRADESH,45-49,378408,6701,664,4737,4391
State - HIMACHAL PRADESH,50-54,316792,5317,534,3975,3860
State - HIMACHAL PRADESH,55-59,256256,3893,453,3145,2953
State - HIMACHAL PRADESH,60-64,222116,3350,355,2768,2661
State - HIMACHAL PRADESH,65-69,152408,2089,218,1912,1889
State - HIMACHAL PRADESH,70-74,125112,1787,135,1617,1847
State - HIMACHAL PRADESH,75-79,72361,926,107,946,1315
